id	name	gender	age	degree	stream	college_name	placement_status	salary	gpa	years_of_experience
501	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Delaware	Placed	65000	3.7	1.0
502	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
503	Liam Perez	Male	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
504	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Virginia	Placed	64000	3.9	2.0
505	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
506	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
507	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Washington	Placed	67000	3.8	3.0
508	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of California--Berkeley	Placed	66000	3.9	3.0
509	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
510	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
511	Jack Garcia	Male	26	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
512	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
513	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
514	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
515	Ava Lee	Female	24	Bachelor's	Information Technology	University of Connecticut	Placed	61000	3.5	1.0
516	Liam Perez	Male	25	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
517	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
518	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
519	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Texas--Dallas	Placed	63000	3.6	1.0
520	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	64000	3.9	2.0
521	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Virginia	Placed	67000	3.9	3.0
522	Aiden Davis	Male	24	Bachelor's	Computer Science	University of California--Los Angeles	Placed	67000	3.8	3.0
523	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of California--Berkeley	Placed	66000	3.7	2.0
524	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
525	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
526	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
527	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
528	Ava Lee	Female	24	Bachelor's	Information Technology	University of Rochester	Placed	62000	3.8	3.0
529	Liam Perez	Male	25	Bachelor's	Computer Science	University of California--Santa Cruz	Placed	60000	3.7	2.0
530	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Connecticut	Placed	61000	3.5	1.0
531	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--Riverside	Not Placed	0	3.9	2.0
532	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Delaware	Placed	65000	3.7	1.0
533	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of California--San Francisco	Placed	66000	3.8	3.0
534	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Texas--Dallas	Placed	63000	3.6	1.0
535	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Virginia	Placed	64000	3.9	2.0
536	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
537	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Pennsylvania	Not Placed	0	3.7	2.0
538	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
539	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
540	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
541	Ava Lee	Female	24	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
542	Liam Perez	Male	25	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
543	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Maryland--College Park	Placed	63000	3.7	2.0
544	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Rochester	Placed	62000	3.8	3.0
545	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Placed	60000	3.7	nan
546	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
547	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
548	Aiden Davis	Male	24	Bachelor's	Computer Science	University of California--San Francisco	Placed	66000	3.8	3.0
549	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Texas--Dallas	Placed	63000	3.6	1.0
550	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Virginia	Placed	64000	3.9	2.0
551	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
552	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
553	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Washington	Placed	67000	3.8	3.0
554	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--Berkeley	Placed	66000	3.9	3.0
555	Liam Perez	Male	25	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
556	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Colorado--Boulder	Placed	66000	3.7	2.0
557	Alexander Lee	Male	26	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
558	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
559	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
560	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of California--Santa Cruz	Placed	60000	3.7	2.0
561	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Connecticut	Placed	61000	3.5	1.0
562	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of California--Riverside	Not Placed	0	3.9	2.0
563	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Delaware	Placed	65000	3.7	1.0
564	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of California--San Francisco	Placed	66000	3.8	3.0
565	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
566	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
567	Ava Lee	Female	24	Bachelor's	Information Technology	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
568	Liam Perez	Male	25	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
569	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Washington	Placed	67000	3.8	3.0
570	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--Berkeley	Placed	66000	3.9	3.0
571	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
572	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Colorado--Boulder	Placed	66000	3.7	2.0
573	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
574	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Maryland--College Park	Placed	63000	3.7	2.0
575	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Rochester	Placed	62000	3.8	3.0
576	Jack Garcia	Male	26	Bachelor's	Information Technology	University of California--Santa Cruz	Placed	60000	3.7	2.0
577	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
578	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
579	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Delaware	Placed	65000	3.7	1.0
580	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
581	Liam Perez	Male	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
582	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Virginia	Placed	64000	3.9	2.0
583	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
584	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
585	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Washington	Placed	67000	3.8	3.0
586	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of California--Berkeley	Placed	66000	3.9	3.0
587	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
588	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
589	Jack Garcia	Male	26	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
590	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
591	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
592	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
593	Ava Lee	Female	24	Bachelor's	Information Technology	University of Connecticut	Placed	61000	3.5	1.0
594	Liam Perez	Male	25	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
595	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
596	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
597	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Texas--Dallas	Placed	63000	3.6	1.0
598	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	64000	3.9	2.0
599	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Virginia	Placed	67000	3.9	3.0
600	Aiden Davis	Male	24	Bachelor's	Computer Science	University of California--Los Angeles	Placed	67000	3.8	3.0
601	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of California--Berkeley	Placed	66000	3.7	2.0
602	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
603	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
604	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
605	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
606	Ava Lee	Female	24	Bachelor's	Information Technology	University of Rochester	Placed	62000	3.8	3.0
607	Liam Perez	Male	25	Bachelor's	Computer Science	University of California--Santa Cruz	Placed	60000	3.7	2.0
608	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Connecticut	Placed	61000	3.5	1.0
609	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--Riverside	Not Placed	0	3.9	2.0
610	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Delaware	Placed	65000	3.7	1.0
611	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of California--San Francisco	Placed	66000	3.8	3.0
612	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Texas--Dallas	Placed	63000	3.6	1.0
613	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Virginia	Placed	64000	3.9	2.0
614	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
615	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Pennsylvania	Not Placed	0	3.7	2.0
616	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
617	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
618	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
619	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Colorado--Boulder	Placed	66000	3.7	2.0
620	Aiden Davis	Male	24	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
621	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
622	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Rochester	Placed	62000	3.8	3.0
623	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
624	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Connecticut	Placed	61000	3.5	1.0
625	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of California--Riverside	Not Placed	0	3.9	2.0
626	Ava Lee	Female	24	Bachelor's	Information Technology	University of Delaware	Placed	65000	3.7	1.0
627	Liam Perez	Male	25	Bachelor's	Computer Science	University of California--San Francisco	Placed	66000	3.8	3.0
628	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Texas--Dallas	Placed	63000	3.6	1.0
629	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Virginia	Placed	64000	3.9	2.0
630	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
631	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
632	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Washington	Placed	67000	3.8	3.0
633	Aiden Davis	Male	24	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
634	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
635	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
636	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
637	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Maryland--College Park	Placed	63000	3.7	2.0
638	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Rochester	Placed	62000	3.8	3.0
639	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--Santa Cruz	Placed	60000	3.7	2.0
640	Liam Perez	Male	25	Bachelor's	Computer Science	University of Connecticut	Placed	61000	3.5	1.0
641	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of California--Riverside	Not Placed	0	3.9	2.0
642	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Delaware	Placed	65000	3.7	1.0
643	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of California--San Francisco	Placed	66000	3.8	3.0
644	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
645	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Virginia	Placed	64000	3.9	2.0
646	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
647	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
648	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Washington	Placed	67000	3.8	3.0
649	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of California--Berkeley	Placed	66000	3.9	3.0
650	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
651	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
652	Ava Lee	Female	24	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
653	Liam Perez	Male	25	Bachelor's	Computer Science	University of Maryland--College Park	Placed	63000	3.7	2.0
654	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Rochester	Placed	62000	3.8	3.0
655	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--Santa Cruz	Placed	60000	3.7	2.0
656	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
657	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
658	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
659	Aiden Davis	Male	24	Bachelor's	Computer Science	University of California--San Francisco	Placed	66000	3.8	3.0
660	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Texas--Dallas	Placed	63000	3.6	1.0
661	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Virginia	Placed	64000	3.9	2.0
662	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
663	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
664	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Washington	Placed	67000	3.8	3.0
665	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--Berkeley	Placed	66000	3.9	3.0
666	Liam Perez	Male	25	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
667	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Colorado--Boulder	Placed	66000	3.7	2.0
668	Alexander Lee	Male	26	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
669	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
670	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
671	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of California--Santa Cruz	Placed	60000	3.7	2.0
672	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Connecticut	Placed	61000	3.5	1.0
673	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of California--Riverside	Not Placed	0	3.9	2.0
674	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Delaware	Placed	65000	3.7	1.0
675	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of California--San Francisco	Placed	66000	3.8	3.0
676	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
677	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
678	Ava Lee	Female	24	Bachelor's	Information Technology	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
679	Liam Perez	Male	25	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
680	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Washington	Placed	67000	3.8	3.0
681	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--Berkeley	Placed	66000	3.9	3.0
682	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
683	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Colorado--Boulder	Placed	66000	3.7	2.0
684	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
685	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Maryland--College Park	Placed	63000	3.7	2.0
686	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Rochester	Placed	62000	3.8	3.0
687	Jack Garcia	Male	26	Bachelor's	Information Technology	University of California--Santa Cruz	Placed	60000	3.7	2.0
688	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
689	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
690	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Delaware	Placed	65000	3.7	1.0
691	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
692	Liam Perez	Male	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
693	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Virginia	Placed	64000	3.9	2.0
694	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
695	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
696	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Washington	Placed	67000	3.8	3.0
697	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of California--Berkeley	Placed	66000	3.9	3.0
698	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
699	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
700	Jack Garcia	Male	26	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
